,SpPos_Dz(i),RDF075s,SpMin7_Bh(m),R6s+,score
0,132.0,148.0,1.39,0.672,3
1,61.7,15.3,1.21,0.042,3
2,73.5,32.7,0.921,0.908,3
3,69.2,18.2,0.8340000000000001,1.0,3
4,148.0,111.0,1.18,0.908,3
5,144.0,69.9,1.1,0.44,3
6,63.9,28.0,0.927,0.7190000000000001,3
7,54.3,14.2,0.853,0.8170000000000001,3
8,71.4,25.4,0.847,0.764,3
9,27.4,4.25,0.485,0.2689999999999999,3
10,59.8,17.9,0.843,0.8809999999999999,2
11,70.0,26.4,0.836,0.971,2
12,30.9,15.3,0.757,0.206,2
13,179.0,77.6,1.67,0.243,2
14,218.0,153.0,1.61,0.184,2
15,178.0,63.3,1.56,0.12,2
16,53.8,17.8,0.8420000000000001,1.04,2
17,138.0,61.4,1.53,0.1639999999999999,2
18,122.0,40.9,1.12,0.166,1
19,106.0,53.5,1.46,0.126,1
20,129.0,62.4,1.49,0.031,0
21,156.0,53.7,1.41,0.106,0
22,190.0,101.0,1.58,0.071,0
23,112.0,92.5,1.58,0.0969999999999999,0
24,67.5,20.8,1.22,0.0559999999999999,0
25,225.0,150.0,1.63,0.067,0
